6,10S,10.3,1.24
6,40S,10.3,1.73
6,80S,10.3,2.41
8,10S,13.7,1.65
8,40S,13.7,2.24
8,80S,13.7,3.02
10,10S,17.1,1.65
10,40S,17.1,2.31
10,80S,17.1,3.2
15,5S,21.3,1.65
15,10S,21.3,2.11
15,40S,21.3,2.77
15,80S,21.3,3.73
20,5S,26.7,1.65
20,10S,26.7,2.11
20,40S,26.7,2.87
20,80S,26.7,3.91
25,5S,33.4,1.65
25,10S,33.4,2.77
25,40S,33.4,3.38
25,80S,33.4,4.55
32,5S,42.2,1.65
32,10S,42.2,2.77
32,40S,42.2,3.56
32,80S,42.2,4.85
40,5S,48.3,1.65
40,10S,48.3,2.77
40,40S,48.3,3.68
40,80S,48.3,5.08
50,5S,60.3,1.65
50,10S,60.3,2.77
50,40S,60.3,3.91
50,80S,60.3,5.54
65,5S,73,2.11
65,10S,73,3.05
65,40S,73,5.16
65,80S,73,7.01
80,5S,88.9,2.11
80,10S,88.9,3.05
80,40S,88.9,5.49
80,80S,88.9,7.62
90,5S,101.6,2.11
90,10S,101.6,3.05
90,40S,101.6,5.74
90,80S,101.6,8.08
100,5S,114.3,2.11
100,10S,114.3,3.05
100,40S,114.3,6.02
100,80S,114.3,8.56
125,5S,141.3,2.77
125,10S,141.3,3.4
125,40S,141.3,6.55
125,80S,141.3,9.53
150,5S,168.3,2.77
150,10S,168.3,3.4
150,40S,168.3,7.11
150,80S,168.3,10.97
200,5S,219.1,2.77
200,10S,219.1,3.76
200,40S,219.1,8.18
200,80S,219.1,12.7
250,5S,273.1,3.4
250,10S,273.1,4.19
250,40S,273.1,9.27
250,80S,273.1,12.7
300,5S,323.9,3.96
300,10S,323.9,4.57
300,40S,323.9,9.53
300,80S,323.9,12.7
350,5S,355.6,3.96
350,10S,355.6,4.78
350,40S,355.6,9.53
350,80S,355.6,12.7
400,5S,406.4,4.19
400,10S,406.4,4.78
400,40S,406.4,9.53
400,80S,406.4,12.7
450,5S,457,4.19
450,10S,457,4.78
450,40S,457,9.53
450,80S,457,12.7
500,5S,508,4.78
500,10S,508,5.54
500,40S,508,9.53
500,80S,508,12.7
550,5S,559,4.78
550,10S,559,5.54
600,5S,610,5.54
600,10S,610,6.35
600,40S,610,9.53
600,80S,610,12.7
750,5S,762,6.35
750,10S,762,7.92
